reached,goal_distance,distance_traveled,steps,alpha,gamma
False,5,26,25,0.5,0.75
True,6,10,10,0.5,0.75
False,5,26,25,0.5,0.75
False,8,41,40,0.5,0.75
False,4,21,20,0.5,0.75
False,7,36,35,0.5,0.75
False,6,31,30,0.5,0.75
True,7,24,24,0.5,0.75
False,6,31,30,0.5,0.75
True,4,15,15,0.5,0.75
True,8,28,28,0.5,0.75
False,7,36,35,0.5,0.75
True,5,2,2,0.5,0.75
False,6,31,30,0.5,0.75
True,4,18,18,0.5,0.75
True,7,21,21,0.5,0.75
True,8,10,10,0.5,0.75
True,5,8,8,0.5,0.75
True,5,5,5,0.5,0.75
False,5,26,25,0.5,0.75
False,7,36,35,0.5,0.75
True,4,8,8,0.5,0.75
True,8,31,31,0.5,0.75
True,5,12,12,0.5,0.75
True,9,34,34,0.5,0.75
True,4,7,7,0.5,0.75
True,6,15,15,0.5,0.75
True,5,21,21,0.5,0.75
False,4,21,20,0.5,0.75
True,8,26,26,0.5,0.75
True,4,6,6,0.5,0.75
True,6,18,18,0.5,0.75
False,8,41,40,0.5,0.75
True,5,24,24,0.5,0.75
True,7,34,34,0.5,0.75
True,4,17,17,0.5,0.75
True,4,4,4,0.5,0.75
False,4,21,20,0.5,0.75
True,8,17,17,0.5,0.75
True,8,30,30,0.5,0.75
True,4,7,7,0.5,0.75
True,8,20,20,0.5,0.75
True,9,17,17,0.5,0.75
True,4,11,11,0.5,0.75
True,5,21,21,0.5,0.75
False,6,31,30,0.5,0.75
True,7,13,13,0.5,0.75
True,5,15,15,0.5,0.75
True,4,5,5,0.5,0.75
True,8,31,31,0.5,0.75
True,5,4,4,0.5,0.75
True,6,15,15,0.5,0.75
True,5,5,5,0.5,0.75
True,5,7,7,0.5,0.75
True,4,16,16,0.5,0.75
False,5,26,25,0.5,0.75
False,4,21,20,0.5,0.75
True,11,10,10,0.5,0.75
True,7,12,12,0.5,0.75
True,4,6,6,0.5,0.75
True,8,17,17,0.5,0.75
False,7,36,35,0.5,0.75
True,5,9,9,0.5,0.75
False,5,26,25,0.5,0.75
True,9,27,27,0.5,0.75
True,7,12,12,0.5,0.75
True,4,15,15,0.5,0.75
True,6,15,15,0.5,0.75
True,8,37,37,0.5,0.75
True,8,24,24,0.5,0.75
False,11,56,55,0.5,0.75
True,6,15,15,0.5,0.75
True,9,12,12,0.5,0.75
True,4,5,5,0.5,0.75
True,7,8,8,0.5,0.75
True,5,16,16,0.5,0.75
True,4,5,5,0.5,0.75
True,5,13,13,0.5,0.75
True,4,7,7,0.5,0.75
True,5,19,19,0.5,0.75
True,6,19,19,0.5,0.75
True,8,23,23,0.5,0.75
True,5,15,15,0.5,0.75
True,10,9,9,0.5,0.75
True,4,15,15,0.5,0.75
True,6,11,11,0.5,0.75
True,7,17,17,0.5,0.75
True,5,11,11,0.5,0.75
True,7,33,33,0.5,0.75
True,11,22,22,0.5,0.75
True,7,13,13,0.5,0.75
True,5,6,6,0.5,0.75
True,5,11,11,0.5,0.75
True,4,7,7,0.5,0.75
True,9,17,17,0.5,0.75
True,5,9,9,0.5,0.75
True,7,21,21,0.5,0.75
True,6,10,10,0.5,0.75
True,5,7,7,0.5,0.75
True,5,5,5,0.5,0.75
True,5,5,5,0.5,0.75
True,7,1,1,0.5,0.75
True,5,9,9,0.5,0.75
True,6,9,9,0.5,0.75
True,4,4,4,0.5,0.75
True,5,12,12,0.5,0.75
True,6,1,1,0.5,0.75
True,7,22,22,0.5,0.75
False,5,26,25,0.5,0.75
True,7,13,13,0.5,0.75
True,4,7,7,0.5,0.75
True,8,14,14,0.5,0.75
True,7,11,11,0.5,0.75
True,5,25,25,0.5,0.75
True,7,19,19,0.5,0.75
True,5,25,25,0.5,0.75
True,11,20,20,0.5,0.75
True,5,7,7,0.5,0.75
True,4,12,12,0.5,0.75
True,8,33,33,0.5,0.75
True,7,13,13,0.5,0.75
True,7,16,16,0.5,0.75
True,5,17,17,0.5,0.75
True,6,9,9,0.5,0.75
False,6,31,30,0.5,0.75
False,5,26,25,0.5,0.75
True,4,8,8,0.5,0.75
True,9,22,22,0.5,0.75
False,5,26,25,0.5,0.75
True,6,19,19,0.5,0.75
True,5,7,7,0.5,0.75
True,8,21,21,0.5,0.75
True,8,40,40,0.5,0.75
True,4,8,8,0.5,0.75
True,5,17,17,0.5,0.75
True,9,19,19,0.5,0.75
False,9,46,45,0.5,0.75
True,5,11,11,0.5,0.75
True,7,11,11,0.5,0.75
True,6,14,14,0.5,0.75
True,8,24,24,0.5,0.75
True,7,30,30,0.5,0.75
True,8,10,10,0.5,0.75
True,8,6,6,0.5,0.75
True,6,17,17,0.5,0.75
True,4,18,18,0.5,0.75
True,4,17,17,0.5,0.75
True,8,11,11,0.5,0.75
False,5,26,25,0.5,0.75
True,4,17,17,0.5,0.75
True,8,16,16,0.5,0.75
True,8,18,18,0.5,0.75
True,6,9,9,0.5,0.75
True,5,9,9,0.5,0.75
True,6,10,10,0.5,0.75
True,10,4,4,0.5,0.75
False,4,21,20,0.5,0.75
True,4,3,3,0.5,0.75
True,4,10,10,0.5,0.75
True,9,4,4,0.5,0.75
False,6,31,30,0.5,0.75
False,5,26,25,0.5,0.75
True,5,21,21,0.5,0.75
True,8,7,7,0.5,0.75
True,4,12,12,0.5,0.75
False,5,26,25,0.5,0.75
True,6,30,30,0.5,0.75
True,4,3,3,0.5,0.75
True,4,13,13,0.5,0.75
True,4,9,9,0.5,0.75
True,8,25,25,0.5,0.75
True,4,7,7,0.5,0.75
True,9,16,16,0.5,0.75
True,6,12,12,0.5,0.75
True,5,12,12,0.5,0.75
True,4,13,13,0.5,0.75
True,7,20,20,0.5,0.75
True,5,10,10,0.5,0.75
True,6,12,12,0.5,0.75
False,4,21,20,0.5,0.75
True,4,5,5,0.5,0.75
True,4,11,11,0.5,0.75
True,4,7,7,0.5,0.75
True,4,6,6,0.5,0.75
True,5,9,9,0.5,0.75
True,4,3,3,0.5,0.75
True,4,6,6,0.5,0.75
True,6,1,1,0.5,0.75
True,6,10,10,0.5,0.75
True,7,19,19,0.5,0.75
True,5,10,10,0.5,0.75
True,5,11,11,0.5,0.75
True,9,21,21,0.5,0.75
True,6,12,12,0.5,0.75
True,7,16,16,0.5,0.75
True,5,12,12,0.5,0.75
True,7,15,15,0.5,0.75
True,5,21,21,0.5,0.75
True,6,1,1,0.5,0.75
True,7,17,17,0.5,0.75
True,4,10,10,0.5,0.75
True,5,16,16,0.5,0.75
True,8,16,16,0.5,0.75
True,7,21,21,0.5,0.75
True,6,15,15,0.5,0.75
True,4,4,4,0.5,0.75
True,6,11,11,0.5,0.75
True,4,10,10,0.5,0.75
True,5,12,12,0.5,0.75
True,5,9,9,0.5,0.75
True,6,15,15,0.5,0.75
True,7,15,15,0.5,0.75
True,4,7,7,0.5,0.75
True,5,9,9,0.5,0.75
True,8,13,13,0.5,0.75
True,7,11,11,0.5,0.75
True,6,8,8,0.5,0.75
True,4,3,3,0.5,0.75
True,5,7,7,0.5,0.75
True,8,17,17,0.5,0.75
True,7,6,6,0.5,0.75
True,10,14,14,0.5,0.75
True,5,4,4,0.5,0.75
True,6,10,10,0.5,0.75
True,4,13,13,0.5,0.75
True,8,15,15,0.5,0.75
True,7,11,11,0.5,0.75
True,7,20,20,0.5,0.75
True,6,9,9,0.5,0.75
True,4,12,12,0.5,0.75
True,5,11,11,0.5,0.75
True,6,24,24,0.5,0.75
True,10,22,22,0.5,0.75
True,7,15,15,0.5,0.75
True,8,16,16,0.5,0.75
True,6,15,15,0.5,0.75
True,7,16,16,0.5,0.75
True,5,4,4,0.5,0.75
True,7,10,10,0.5,0.75
True,4,10,10,0.5,0.75
True,5,15,15,0.5,0.75
True,7,15,15,0.5,0.75
True,9,13,13,0.5,0.75
True,6,10,10,0.5,0.75
True,6,10,10,0.5,0.75
True,6,19,19,0.5,0.75
True,7,20,20,0.5,0.75
True,6,4,4,0.5,0.75
True,5,9,9,0.5,0.75
True,7,11,11,0.5,0.75
True,6,15,15,0.5,0.75
True,7,10,10,0.5,0.75
True,6,12,12,0.5,0.75
True,5,16,16,0.5,0.75
True,4,7,7,0.5,0.75
True,4,10,10,0.5,0.75
True,7,17,17,0.5,0.75
False,4,21,20,0.5,0.75
True,4,4,4,0.5,0.75
True,10,29,29,0.5,0.75
True,6,12,12,0.5,0.75
True,5,7,7,0.5,0.75
True,5,9,9,0.5,0.75
True,7,12,12,0.5,0.75
True,5,6,6,0.5,0.75
True,6,12,12,0.5,0.75
True,6,10,10,0.5,0.75
True,4,6,6,0.5,0.75
True,6,16,16,0.5,0.75
True,5,15,15,0.5,0.75
True,7,27,27,0.5,0.75
True,6,9,9,0.5,0.75
True,4,15,15,0.5,0.75
True,4,10,10,0.5,0.75
True,7,15,15,0.5,0.75
True,6,13,13,0.5,0.75
True,7,16,16,0.5,0.75
True,5,9,9,0.5,0.75
True,8,16,16,0.5,0.75
True,6,10,10,0.5,0.75
True,10,32,32,0.5,0.75
True,7,2,2,0.5,0.75
True,7,13,13,0.5,0.75
True,4,7,7,0.5,0.75
True,5,7,7,0.5,0.75
True,4,5,5,0.5,0.75
True,4,18,18,0.5,0.75
True,4,15,15,0.5,0.75
True,8,15,15,0.5,0.75
True,4,6,6,0.5,0.75
False,8,41,40,0.5,0.75
False,6,31,30,0.5,0.75
False,4,21,20,0.5,0.75
True,7,23,23,0.5,0.75
True,6,22,22,0.5,0.75
False,9,46,45,0.5,0.75
False,4,21,20,0.5,0.75
True,4,6,6,0.5,0.75
True,5,17,17,0.5,0.75
True,4,9,9,0.5,0.75
True,7,6,6,0.5,0.75
True,5,10,10,0.5,0.75
True,5,12,12,0.5,0.75
True,7,6,6,0.5,0.75
True,5,3,3,0.5,0.75
True,7,7,7,0.5,0.75
True,7,13,13,0.5,0.75
True,6,19,19,0.5,0.75
True,9,23,23,0.5,0.75
True,4,10,10,0.5,0.75
True,5,16,16,0.5,0.75
True,5,16,16,0.5,0.75
True,4,6,6,0.5,0.75
True,8,22,22,0.5,0.75
True,7,25,25,0.5,0.75
True,5,7,7,0.5,0.75
True,4,9,9,0.5,0.75
True,8,16,16,0.5,0.75
True,6,21,21,0.5,0.75
True,5,17,17,0.5,0.75
False,4,21,20,0.5,0.75
True,4,12,12,0.5,0.75
True,4,4,4,0.5,0.75
False,5,26,25,0.5,0.75
True,4,3,3,0.5,0.75
True,7,2,2,0.5,0.75
True,6,5,5,0.5,0.75
True,5,4,4,0.5,0.75
False,6,31,30,0.5,0.75
True,4,8,8,0.5,0.75
